2018-03-31 13:44:37,807 DEBUG Speed.txt
2018-03-31 13:45:52,165 DEBUG Speed.txt
2018-03-31 13:48:04,547 DEBUG Speed.txt
2018-03-31 13:48:35,714 DEBUG Speed.txt
2018-03-31 13:48:57,173 DEBUG Speed.txt
2018-03-31 13:50:23,088 DEBUG Speed.txt
2018-03-31 13:51:10,805 DEBUG Speed.txt
2018-03-31 13:51:22,635 DEBUG Speed.txt
2018-03-31 13:53:44,014 DEBUG Speed.txt
2018-03-31 13:55:38,093 DEBUG Speed.txt
2018-03-31 13:56:49,456 DEBUG Speed.txt
2018-03-31 13:57:05,736 DEBUG Speed.txt
2018-03-31 13:58:51,730 DEBUG Speed.txt
2018-03-31 13:59:13,688 DEBUG Speed.txt
2018-03-31 14:05:36,049 DEBUG Speed.txt
2018-03-31 14:06:10,670 DEBUG Speed.txt
2018-03-31 14:06:36,707 DEBUG Speed.txt
2018-03-31 14:07:10,356 DEBUG Speed.txt
2018-03-31 14:07:47,106 DEBUG Speed.txt
2018-03-31 14:07:53,669 DEBUG Speed.txt
2018-03-31 14:09:32,431 DEBUG Speed.txt
2018-03-31 14:10:25,528 DEBUG Speed.txt
2018-03-31 14:11:52,106 DEBUG Speed.txt
2018-03-31 14:12:40,546 DEBUG Speed.txt
2018-03-31 14:13:02,541 DEBUG Speed.txt
2018-03-31 14:16:09,514 DEBUG Speed.txt
2018-03-31 14:16:23,473 DEBUG Speed.txt
2018-03-31 14:17:31,194 DEBUG Speed.txt
2018-03-31 14:19:47,091 DEBUG Speed.txt
2018-03-31 14:22:35,709 DEBUG Speed.txt
2018-03-31 14:38:00,519 DEBUG Speed.txt
2018-03-31 14:38:42,611 DEBUG Speed.txt
2018-03-31 14:39:14,530 DEBUG Speed.txt
2018-03-31 14:40:27,225 DEBUG Speed.txt
2018-03-31 14:41:32,936 DEBUG Speed.txt
2018-03-31 14:42:00,544 DEBUG Speed.txt
2018-03-31 14:43:01,251 DEBUG Speed.txt
2018-03-31 14:49:27,528 DEBUG Speed.txt
2018-03-31 14:49:44,270 DEBUG Speed.txt
2018-03-31 14:50:35,804 DEBUG Speed.txt
2018-03-31 15:01:43,203 DEBUG Speed.txt
2018-03-31 15:03:50,093 DEBUG Speed.txt
